1功能性QQ群,,,2军团QQ群,,,3其他 QQ群,
名称,群号,,名称,群号,,名称,群号
FRT大群,544526885,,创世新人群,1169274757,,宁静周刊宇宙新闻,709191395
FRT商会,702996544,,采星招新群,1020392920,,EVE宁静服菜市场,341857586
古斯塔斯任务,541299787,,伏羲大学公开群,1075253324,,EVE-LP交易 军团撕逼群,751623378
C海军5级任务,728600140,,SG.CN 公开群,669360924,,WC凛冬战争雷霆误国群,693960743
莫得团任务,866798495,,德莉莎工业集团招新群,965379829,,DC联盟大群,
故土聊天群,499077366,,紫竹梅招新群,560567089,,DC集结群,113208706
故土家园矿石兴趣小组,712431295,,KHESH招新群,692459197,,lulu直播通知群,259928496
宁静(凛冬)新媒体中心,1006909769,,神农裔招新群,743920273,,DarKdeZ直播群,
FRT(U)农业合作社-大量收P4,370057382,,SSFSY神韵星空舰队『吊大来kook：46392654』,573293883,,娜迦养猪场,115339649
飞行地板舰队,884291652,,叶落星海招新群,773032626,,歐服第一人民醫院（AVR）,492446061
宁静(凛冬)新闻推送中心,952153622,,Titan Legion 新人群,864296589,,新中文,492446061
凛冬集结通知一群,155057693,,雪月城新人群（谁都可以进）,1007805049,,,
凛冬集结通知二群,306928759,,,205391865,,,
FRT远征交流群,817322992,,吃瓜复兴营地（谁都可以进）,652548308,,,
爱丽丝投弹隐轰群,687601379,,LSP.招新公开群,696384225,,,
故土研究院,247440167,,,,,,
FRT反时区战区,1042434592,,,,,,
